10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
389,272,478,433,387,214,115,60,41,22,1,389,661,1139,1572,1959,2173,2288,2348,2389,2411,2412
347,246,489,465,367,209,95,65,35,15,0,347,593,1082,1547,1914,2123,2218,2283,2318,2333,2333
285,211,456,382,344,190,94,72,52,23,0,285,496,952,1334,1678,1868,1962,2034,2086,2109,2109
312,203,398,396,365,195,103,49,32,18,0,312,515,913,1309,1674,1869,1972,2021,2053,2071,2071
268,182,292,282,263,122,70,62,29,13,0,268,450,742,1024,1287,1409,1479,1541,1570,1583,1583
152,116,183,178,167,103,50,39,14,10,0,152,268,451,629,796,899,949,988,1002,1012,1012
267,207,336,328,312,175,74,49,30,17,0,267,474,810,1138,1450,1625,1699,1748,1778,1795,1795
316,238,347,335,334,172,89,58,29,14,1,316,554,901,1236,1570,1742,1831,1889,1918,1932,1933
284,226,343,380,307,160,85,52,26,10,1,284,510,853,1233,1540,1700,1785,1837,1863,1873,1874
208,208,345,309,250,137,65,39,25,11,0,208,416,761,1070,1320,1457,1522,1561,1586,1597,1597
218,222,284,285,239,142,59,40,24,9,2,218,440,724,1009,1248,1390,1449,1489,1513,1522,1524
278,215,273,270,234,145,74,29,16,10,0,278,493,766,1036,1270,1415,1489,1518,1534,1544,1544
184,113,153,156,174,91,40,27,12,6,1,184,297,450,606,780,871,911,938,950,956,957
257,234,264,255,240,142,70,43,18,4,0,257,491,755,1010,1250,1392,1462,1505,1523,1527,1527
310,243,353,360,349,204,82,71,32,9,0,310,553,906,1266,1615,1819,1901,1972,2004,2013,2013
247,221,350,373,278,188,56,55,37,10,0,247,468,818,1191,1469,1657,1713,1768,1805,1815,1815
224,179,303,318,263,148,78,42,29,6,1,224,403,706,1024,1287,1435,1513,1555,1584,1590,1591
232,213,338,303,300,161,62,37,25,9,1,232,445,783,1086,1386,1547,1609,1646,1671,1680,1681
274,216,272,277,263,171,55,57,20,15,1,274,490,762,1039,1302,1473,1528,1585,1605,1620,1621
142,170,187,191,184,102,52,25,15,7,1,142,312,499,690,874,976,1028,1053,1068,1075,1076
308,228,318,354,312,218,103,51,43,22,1,308,536,854,1208,1520,1738,1841,1892,1935,1957,1958
319,258,480,437,353,244,99,65,51,17,2,319,577,1057,1494,1847,2091,2190,2255,2306,2323,2325
283,246,515,451,389,273,121,63,46,20,2,283,529,1044,1495,1884,2157,2278,2341,2387,2407,2409
236,232,480,425,380,225,101,52,35,15,0,236,468,948,1373,1753,1978,2079,2131,2166,2181,2181
258,260,503,364,344,222,96,70,29,13,0,258,518,1021,1385,1729,1951,2047,2117,2146,2159,2159
